index,name,role,age,market_value,nationality,from_club,from_league,to_club,to_league,transfer_values
3052,Vladimir Obukhov,Second Striker,26,500 Th. €,Russia,Kuban Krasnodar,Kuban Krasnodar,Mordovia,1.Division,Free Transfer
3053,Valeri Tskhovrebov,Centre-Back,29,500 Th. €,Russia,Sibir,1.Division,Shinnik,1.Division,Free Transfer
3054,Kader Mangane,Centre-Back,35,500 Th. €,Senegal,R. Strasbourg,Ligue 1,Ligue 1,Retired,-
3055,Evgeni Pesegov,Defensive Midfield,29,500 Th. €,Russia,Dinamo S-Pb,Dinamo S-Pb,Sochi,1.Division,-
3056,Emmersón,Centre-Back,22,500 Th. €,Congo,Olimpik Donetsk,Premier Liga,Vejle BK,Superligaen,265 Th. €
3057,Leonardo Burián,Goalkeeper,34,500 Th. €,Uruguay,CD Godoy Cruz,Primera División,Colón,Primera División,Free Transfer
3058,Youssouf M'Changama,Central Midfield,28,500 Th. €,Comoros,G. Ajaccio,Ligue 2,Grenoble,Ligue 2,Free Transfer
3059,Sammy Skytte,Central Midfield,21,400 Th. €,Denmark,Silkeborg IF,1. Division,FC Midtjylland,Superligaen,500 Th. €
3060,Juan Angulo,Right-Back,29,500 Th. €,Colombia,CD América,Liga Águila II,Deportivo Cali,Liga Águila II,Free Transfer
3061,Florian Kamberi,Centre-Forward,23,500 Th. €,Switzerland,Grasshoppers,Super League,Hibernian FC,Premiership,130 Th. €
3062,Mateusz Wieteska,Centre-Back,21,500 Th. €,Poland,Górnik Zabrze,Ekstraklasa,Legia Warszawa,Ekstraklasa,125 Th. €
3063,Abraham Carreño,Centre-Forward,30,500 Th. €,Mexico,Puebla FC,Liga MX Apertura,Comunicaciones,Comunicaciones,?
