index,name,role,age,market_value,nationality,from_club,from_league,to_club,to_league,transfer_values
6094,Torben Müsel,Centre-Forward,19,200 Th. €,Germany,1.FC K'lautern,3.Liga,Bor. M'gladbach,1.Bundesliga,Free Transfer
6095,Felix Götze,Right-Back,20,200 Th. €,Germany,Bayern Munich ,1.Bundesliga,FC Augsburg,1.Bundesliga,Free Transfer
6096,Ricki Lamie,Centre-Back,25,200 Th. €,Scotland,Morton,Championship,Livingston FC,Premiership,Free Transfer
6097,Dennis Salanovic,Right Midfield,22,200 Th. €,Liechtenstein,Rapperswil-Jona,Challenge League,FC Thun,Super League,?
6098,Davide Riccardi,Centre-Back,22,175 Th. €,Italy,Hellas Verona,Serie B,Lecce,Serie B,200 Th. €
6099,Tomas Brecka,Centre-Back,24,200 Th. €,Czech Republic,Slovácko,HET Liga,FK Jablonec,HET Liga,?
6100,Andrea Vallocchia,Central Midfield,21,125 Th. €,Italy,Sambenedettese,Serie C - B,Olbia,Serie C - A,200 Th. €
6101,Mauro Laínez,Left Winger,22,200 Th. €,Mexico,CF Pachuca,Liga MX Apertura,Lobos,Liga MX Apertura,?
6102,Janni Serra,Centre-Forward,20,200 Th. €,Germany,B. Dortmund II,Regionalliga West,Holstein Kiel,2.Bundesliga,?
6103,Mohamed Dräger,Right-Back,22,200 Th. €,Tunisia,SC Freiburg,1.Bundesliga,SC Paderborn,2.Bundesliga,Loan fee:75 Th. €
6104,Jakub Serafin,Central Midfield,22,200 Th. €,Poland,Lech Poznan,Ekstraklasa,Cracovia Kraków,Ekstraklasa,100 Th. €
6105,Nardin Mulahusejnovic,Centre-Forward,20,200 Th. €,Bosnia-Herzegovina,Zrinjski Mostar,Premijer Liga,NK Maribor,Prva Liga,150 Th. €
6106,Leonardo Sernicola,Left-Back,21,200 Th. €,Italy,Ternana,Serie C - B,Sassuolo,Serie A,200 Th. €
6107,Bratislav Punosevac,Centre-Forward,31,200 Th. €,Serbia,Kyzyl-Zhar,Premier Liga,Kaisar,Premier Liga,?
6108,Omar Marrufo,Centre-Forward,26,200 Th. €,Mexico,Veracruz II,Veracruz II,Tiburones Rojos,Liga MX Apertura,-
6109,Valentín Castellanos,Attacking Midfield,19,200 Th. €,Argentina,Universidad B,Universidad B,CA Torque,Primera División,154 Th. €
6110,Mihailo Perovic,Centre-Forward,21,200 Th. €,Montenegro,Vozdovac ,SuperLiga,B. Podgorica,Telekom 1. CFL,50 Th. €
6111,Sergej Grubac,Centre-Forward,18,-,Montenegro,APOEL U21,APOEL U21,Chievo Verona,Serie A,200 Th. €
6112,Tonci Mujan,Left Winger,23,200 Th. €,Croatia,NK Krsko,Prva Liga,NK Domzale,Prva Liga,?
6113,Enson Rodríguez,Left Midfield,28,200 Th. €,Venezuela,CD América,CD América,SD Aucas,Serie A Segunda Etapa,?
6114,Deian Boldor,Centre-Back,23,200 Th. €,Romania,Bologna,Serie A,Hellas Verona,Serie B,100 Th. €
6115,Marco Corradi,Centre-Back,18,200 Th. €,Switzerland,FC Aarau,Challenge League,FC Baden,1. Liga gr. 3,Loan
6116,Hlib Hrachov,Centre-Back,21,200 Th. €,Ukraine,Feniks Bucha,Feniks Bucha,Chornomorets,Premier Liga,?
6117,Amar Hamdi,Left Winger,19,100 Th. €,Egypt,El Nasr,El Nasr,Ahly,Premier League,200 Th. €
6118,Mohamed Abdelsalam,Centre-Back,20,100 Th. €,Egypt,Petrojet,Premier League,Zamalek,Premier League,200 Th. €
6119,Samed Kaya,Left Winger,22,200 Th. €,Turkey,Menemen Bld.,2.Lig Kirmizi,Göztepe,Süper Lig,135 Th. €
6120,Vadym Paramonov,Centre-Back,27,200 Th. €,Ukraine,FK Poltava,FK Poltava,FK Lviv,Premier Liga,Free Transfer
6121,Stefan Baric,Right Midfield,27,200 Th. €,Bosnia-Herzegovina,GOSK Gabela,Premijer Liga,Zrinjski Mostar,Premijer Liga,Free Transfer
6122,Nicolás Queiróz,Central Midfield,22,200 Th. €,Uruguay,Wanderers,Primera División,CS Emelec,Serie A Segunda Etapa,Loan
6123,Valentín Castellanos,Attacking Midfield,19,200 Th. €,Argentina,CA Torque,Primera División,NYCFC,MLS,Loan
6124,Birhan Vatansever,Defensive Midfield,21,200 Th. €,Turkey,Bandirmaspor,2.Lig Kirmizi,Galatasaray II,Galatasaray II,81 Th. €
6125,Rafail Mamas,Central Midfield,17,-,Cyprus,AEK Larnaca U21,AEK Larnaca U21,Napoli U19,Primavera 1,200 Th. €
6126,Muhammad Shaban,Centre-Forward,20,-,Uganda,Kampala CC,Kampala CC,Raja Casablanca,Botola Pro,180 Th. €
6127,Rafal Augustyniak,Defensive Midfield,24,175 Th. €,Poland,Jagiellonia,Ekstraklasa,Miedz Legnica,Ekstraklasa,63 Th. €
6128,Victor Stina,Attacking Midfield,20,175 Th. €,Moldova,Zimbru Chisinau,Divizia Nationala,Dinamo Bukarest,Liga 1,50 Th. €
6129,Elliot Collier,Attacking Midfield,23,175 Th. €,New Zealand,Chicago Fire,MLS,Indy Eleven,USL,Loan
6130,Carlo Ferrario,Centre-Forward,31,175 Th. €,Italy,Pergolettese,Serie D - B,Modena,Serie D - D,50 Th. €
6131,Josh Sargent,Centre-Forward,18,150 Th. €,United States,W. Bremen II,Regionalliga Nord,Werder Bremen,1.Bundesliga,-
6132,Lewis Ferguson,Central Midfield,19,150 Th. €,Scotland,Hamilton Acad.,Premiership,Aberdeen FC,Premiership,?
6133,Milos Pantovic,Left Winger,22,150 Th. €,Serbia,FC Bayern II,Regionalliga Bayern,VfL Bochum,2.Bundesliga,Free Transfer
6134,Filip Piszczek,Centre-Forward,23,150 Th. €,Poland,Sandecja,1 Liga,Cracovia Kraków,Ekstraklasa,60 Th. €
6135,Damian Gaska,Central Midfield,21,150 Th. €,Poland,Wigry Suwalki,1 Liga,Slask Wroclaw,Ekstraklasa,63 Th. €
6136,Matej Rodin,Centre-Back,22,150 Th. €,Croatia,GOSK Gabela,Premijer Liga,Zrinjski Mostar,Premijer Liga,Free Transfer
6137,Timo Righetti,Centre-Back,20,150 Th. €,Switzerland,Thun U21,1. Liga gr. 1,FC Thun,Super League,-
6138,Veljko Birmancevic,Attacking Midfield,20,150 Th. €,Serbia,Partizan,SuperLiga,Cukaricki,SuperLiga,Loan
6139,Nias Hefti,Left-Back,18,150 Th. €,Switzerland,St. Gallen U21,1. Liga gr. 3,FC St. Gallen,Super League,-
6140,Antonio Pavic,Left-Back,23,150 Th. €,Croatia,NK Istra,1.HNL,Zeljeznicar,Premijer Liga,Free Transfer
6141,Lukas Klemenz,Centre-Back,22,150 Th. €,Poland,GKS Katowice,1 Liga,Jagiellonia,Ekstraklasa,60 Th. €
6142,Erick Ferigra,Centre-Back,19,150 Th. €,Ecuador,Fiorentina U19,Primavera 1,Torino U19,Primavera 1,150 Th. €
6143,Facundo Melivilo,Centre-Forward,26,150 Th. €,Argentina,Chacarita Jrs,Primera B Nacional,Club Atlético Central Córdoba (SdE),Primera B Nacional,Loan
6144,Volodymyr Krynskyi,Goalkeeper,21,150 Th. €,Ukraine,FK Poltava,FK Poltava,Olimpik Donetsk,Premier Liga,Free Transfer
6145,Gift Links,Left Winger,19,100 Th. €,South Africa,Pyramids FC,Premier League,Cape Town City,ABSA Premiership,150 Th. €
6146,Shane O'Neill,Centre-Back,24,150 Th. €,United States,SBV Excelsior,Eredivisie,Orlando City SC,MLS,Free Transfer
6147,Alejandro Manchot,Centre-Back,30,150 Th. €,Argentina,G y E Jujuy,Primera B Nacional,CD Macará,Serie A Segunda Etapa,Free Transfer
6148,Ivan Trubochkin,Left-Back,25,150 Th. €,Ukraine,Arsenal Kyiv,Premier Liga,Chornomorets,Premier Liga,Free Transfer
6149,Oleksandr Golikov,Right-Back,26,150 Th. €,Ukraine,FK Poltava,FK Poltava,FK Lviv,Premier Liga,Free Transfer
6150,Matej Rodin,Centre-Back,22,150 Th. €,Croatia,Zrinjski Mostar,Premijer Liga,Zeljeznicar,Premijer Liga,Free Transfer
6151,Stefan Nigro,Right-Back,22,150 Th. €,Australia,Melbourne,A-League,Brisbane Roar,A-League,Free Transfer
6152,Nias Hefti,Left-Back,18,150 Th. €,Switzerland,FC St. Gallen,Super League,FC Wil 1900,Challenge League,Loan
6153,Sander Christiansen,Attacking Midfield,17,-,Norway,SK Brann Youth,SK Brann Youth,M'gladbach U19,A-Junioren Bundesliga West,140 Th. €
6154,Milton Álvarez,Goalkeeper,29,-,Argentina,CD Morón,Primera B Nacional,Independiente,Primera División,130 Th. €
6155,Mateusz Lis,Goalkeeper,21,50 Th. €,Poland,Lech Poznan,Ekstraklasa,Wisla Kraków,Ekstraklasa,125 Th. €
6156,Ridle Baku,Central Midfield,20,125 Th. €,Germany,FSV Mainz 05 II,Regionalliga Südwest,1.FSV Mainz 05,1.Bundesliga,-
6157,Carlos Jatoba,Defensive Midfield,22,125 Th. €,Brazil,FK Dunav,Parva Liga,Sporting CP U23,Sporting CP U23,125 Th. €
6158,Junior Torunarigha,Centre-Forward,28,125 Th. €,Germany,Alem. Aachen,Regionalliga West,Sosnowiec,Ekstraklasa,50 Th. €
6159,Mostafa El Badry,Left Winger,21,50 Th. €,Egypt,Aswan FC,Aswan FC,Ahly,Premier League,125 Th. €
6160,Devrim Taskaya,Left Winger,21,125 Th. €,Turkey,Kahramanmaras,2.Lig Kirmizi,Keciörengücü,2.Lig Beyaz,50 Th. €
6161,Aissa Sioudi,Goalkeeper,20,125 Th. €,Morocco,Moghreb Tétouan,Botola Pro,Betis B,Betis B,100 Th. €
6162,Chelito Omar,Right Winger,22,-,Mozambique,UD Songo,UD Songo,RS Berkane,Botola Pro,125 Th. €
6163,Mohamed Zghinou,Left Winger,0,-,Morocco,Mouloudia,Botola Pro,Ittihad Tanger,Botola Pro,120 Th. €
6164,Anthony Okpotu,Centre-Forward,24,-,Nigeria,Lobi Stars,Lobi Stars,Difaa El Jadida,Botola Pro,120 Th. €
6165,Ian Maatsen,Centre-Back,16,-,Netherlands,PSV Youth,PSV Youth,Chelsea U18,U18 Premier League,110 Th. €
6166,Harry Pell,Central Midfield,27,100 Th. €,England,Cheltenham Town,League Two,Colchester Utd.,League Two,100 Th. €
6167,Sam Schreck,Attacking Midfield,19,100 Th. €,Germany,Leverkusen U19,A-Junioren Bundesliga West,Bay. Leverkusen,1.Bundesliga,-
6168,Jannik Dehm,Right-Back,22,100 Th. €,Germany,Hoffenheim II,Regionalliga Südwest,Holstein Kiel,2.Bundesliga,Free Transfer
6169,Atakan Akkaynak,Central Midfield,19,100 Th. €,Germany,Leverkusen U19,A-Junioren Bundesliga West,Willem II,Eredivisie,100 Th. €
6170,Thijs Dallinga,Centre-Forward,18,25 Th. €,Netherlands,Emmen U19,Preliminary round U19 Eerste Divisie,Groningen U21,Derde Divisie Saturday,100 Th. €
6171,Aleksejs Saveljevs,Central Midfield,19,50 Th. €,Latvia,FK Svyturys Marijampole,FK Svyturys Marijampole,Hellas U19,Primavera 2a,100 Th. €
6172,Juho Kilo,Midfielder,16,-,Finland,Käpylän U19,Käpylän U19,Hamburg U17,B-Junioren Bundesliga Nord/Nordost,100 Th. €
6173,Jakub Labojko,Central Midfield,20,100 Th. €,Poland,Rakow,1 Liga,Slask Wroclaw,Ekstraklasa,90 Th. €
6174,Kilian Senkbeil,Centre-Back,19,-,Germany,RB Leipzig U19,A-Junioren Bundesliga Nord/Nordost,FC Bayern II,Regionalliga Bayern,100 Th. €
6175,Mariusz Malec,Centre-Back,23,100 Th. €,Poland,Podbeskidzie,1 Liga,Pogon Szczecin,Ekstraklasa,65 Th. €
6176,Mateusz Kuchta,Goalkeeper,22,100 Th. €,Poland,Górnik Zabrze,Ekstraklasa,Zaglebie Lubin,Ekstraklasa,50 Th. €
6177,Haris Kadric,Centre-Forward,18,100 Th. €,Slovenia,ASK Bravo,Druga Liga,NK Olimpija,Prva Liga,?
6178,Andi Qerfozi,Centre-Forward,22,100 Th. €,Switzerland,GC Zürich U21,1. Liga gr. 2,FC Kreuzlingen,2. Liga Inter - Gr. 6,Free Transfer
6179,Sefa Akgün,Central Midfield,18,100 Th. €,Turkey,Trabzonspor U19,Trabzonspor U19,BB Erzurumspor,Süper Lig,95 Th. €
6180,Caio Vinicius Pirana,Goalkeeper,19,75 Th. €,Brazil,Campodarsego,Serie D - C,Bologna U19,Primavera 2a,100 Th. €
6181,Yasin Güreler,Left-Back,27,100 Th. €,Turkey,Menemen Bld.,2.Lig Kirmizi,Hatayspor,1.Lig,55 Th. €
6182,Felipe Santos,Right Winger,21,50 Th. €,Brazil,NK Ankaran,Druga Liga,NK Maribor,Prva Liga,100 Th. €
6183,Pau Miguélez,Left Winger,19,50 Th. €,Spain,Racing,2ª B - Grupo II,CF Peralada,2ª B - Grupo III,100 Th. €
6184,Rostand Junior M'baï,Centre-Forward,23,50 Th. €,Cameroon,Dragon Club de Yaounde,Dragon Club de Yaounde,Ittihad Tanger,Botola Pro,100 Th. €
6185,Salaheddine Benabid,Defensive Midfield,0,-,Morocco,Defensive Midfield,Unknown,Raja Casablanca,Botola Pro,82 Th. €
6186,Linas Megelaitis,Central Midfield,19,75 Th. €,Lithuania,FK Svyturys Marijampole,FK Svyturys Marijampole,Lecce,Serie B,50 Th. €
6187,Edgaras Dubickas,Second Striker,20,75 Th. €,Lithuania,FK Svyturys Marijampole,FK Svyturys Marijampole,Lecce,Serie B,50 Th. €
6188,Florian Mayer,Centre-Back,20,75 Th. €,Germany,M'gladbach II,Regionalliga West,Bor. M'gladbach,1.Bundesliga,-
6189,Emeka Ogbugh,Forward,28,-,Nigeria,Rivers United,Rivers United,Mouloudia,Botola Pro,75 Th. €
6190,Raffaele Ioime,Goalkeeper,30,75 Th. €,Italy,Matera,Serie C - C,Potenza,Serie C - C,50 Th. €
6191,Tein Troost,Goalkeeper,16,-,Netherlands,NAC Breda U17,NAC Breda U17,Feyenoord U17,Preliminary round U17 Eredivisie,70 Th. €
6192,Soufiane Rahimi,Centre-Forward,0,-,Morocco,Centre-Forward,Unknown,Raja Casablanca,Botola Pro,65 Th. €
6193,Othman Saidi,Centre-Forward,26,-,Tunisia,CS Hammam-Lif,Ligue I Pro,CA Bizertin,Ligue I Pro,65 Th. €
6194,Samir Ouidar,Midfielder,28,-,Morocco,Salé,Salé,RS Berkane,Botola Pro,60 Th. €
6195,Ryan Croasdale,Central Midfield,23,-,England,Kidderminster,Kidderminster,Fylde,National League,56 Th. €
6196,Jordi Altena,Midfielder,0,-,Netherlands,Dordrecht Youth,Dordrecht Youth,Vitesse Youth,Vitesse Youth,56 Th. €
6197,Paul Jaeckel,Centre-Back,20,50 Th. €,Germany,Wolfsburg II,Regionalliga Nord,VfL Wolfsburg,1.Bundesliga,-
6198,Julius Dirksen,Centre-Back,15,-,Netherlands,Zwolle Youth,Zwolle Youth,Ajax Youth,Ajax Youth,50 Th. €
6199,Nicola Borghetto,Goalkeeper,18,50 Th. €,Italy,Belluno,Serie D - C,Hellas Verona,Serie B,50 Th. €
6200,Javier Burrai,Goalkeeper,27,50 Th. €,Argentina,G y E Jujuy,Primera B Nacional,CD Macará,Serie A Segunda Etapa,?
6201,Jean-Joseph Kombous Njock,Centre-Forward,25,-,Cameroon,Cotonsport,Cotonsport,Mouloudia,Botola Pro,50 Th. €
6202,Vlad Dragomir,Attacking Midfield,19,50 Th. €,Romania,Arsenal U23,Premier League 2,Perugia,Serie B,Free Transfer
6203,Muhammed Kiprit,Centre-Forward,19,25 Th. €,Germany,Hertha BSC U19,A-Junioren Bundesliga Nord/Nordost,Hertha BSC,1.Bundesliga,-
6204,Joaquín Lencinas,Centre-Back,30,-,Argentina,Monagas SC,Torneo Apertura,Torneo Apertura,Unknown,Free Transfer
6205,Juan Vogliotti,Centre-Forward,33,-,Argentina,Monagas SC,Torneo Apertura,Torneo Apertura,Unknown,Free Transfer
6206,Younés Kaabouni,Attacking Midfield,23,-,France,G. Bordeaux,Ligue 1,Ligue 1,Without Club,-
6207,Miquel Nelom,Left-Back,27,-,Netherlands,Feyenoord,Eredivisie,Eredivisie,Unknown,Free Transfer
6208,Serdar Tasci,Centre-Back,31,-,Germany,Spartak Moscow,Premier Liga,Premier Liga,Without Club,-
6209,Dennis Diekmeier,Right-Back,28,-,Germany,Hamburger SV,2.Bundesliga,2.Bundesliga,Without Club,-
6210,Sejad Salihovic,Central Midfield,33,-,Bosnia-Herzegovina,Hamburger SV,2.Bundesliga,2.Bundesliga,Without Club,-
6211,Pablo Batalla,Attacking Midfield,34,-,Argentina,Bursaspor,Süper Lig,Süper Lig,Without Club,-
6212,Vladlen Yurchenko,Central Midfield,24,-,Ukraine,Bay. Leverkusen,1.Bundesliga,1.Bundesliga,Without Club,-
6213,Michael Theo,Goalkeeper,37,-,Australia,Brisbane Roar,A-League,A-League,Without Club,-
6214,Bartholomew Ogbeche,Centre-Forward,33,-,Nigeria,Willem II,Eredivisie,Eredivisie,Unknown,Free Transfer
6215,Fabián Monzón,Left-Back,31,-,Argentina,U. de Chile,Primera División,Primera División,Without Club,-
6216,Hatem Ben Arfa,Attacking Midfield,31,-,France,Paris SG,Ligue 1,Ligue 1,Without Club,-
6217,Anastasios Lagos,Defensive Midfield,26,-,Greece,AE Larisa,Super League,Super League,Without Club,-
6218,Prince Buaben,Central Midfield,30,-,Ghana,Heart of Midl.,Premiership,Premiership,Without Club,-
6219,Wesley Hoolahan,Attacking Midfield,36,-,Ireland,Norwich,Championship,Championship,Without Club,-
6220,Mike Campaz,Defensive Midfield,30,-,Equatorial Guinea,Neftchi Baku,Premyer Liqasi,Premyer Liqasi,Without Club,-
6221,Lucas Gómez,Centre-Forward,30,-,Argentina,Neftchi Baku,Premyer Liqasi,Premyer Liqasi,Without Club,-
6222,Adam Maher,Attacking Midfield,25,-,Netherlands,FC Twente,Keuken Kampioen Divisie,Keuken Kampioen Divisie,Unknown,Free Transfer
6223,Michael Thwaite,Centre-Back,35,-,Australia,Western Sydney,A-League,A-League,Without Club,-
6224,Jade North,Centre-Back,36,-,Australia,Brisbane Roar,A-League,A-League,Without Club,-
6225,Javairô Dilrosun,Left Winger,20,-,Netherlands,Man City U23,Premier League 2,Hertha BSC,1.Bundesliga,Free Transfer
6226,Wes Thomas,Centre-Forward,31,-,England,Oxford United,League One,League One,Without Club,-
6227,Yaya Touré,Central Midfield,35,-,Cote d'Ivoire,Man City,Premier League,Premier League,Without Club,-
6228,Rubén Bover,Central Midfield,26,-,Spain,Barnet,National League,National League,Unknown,Free Transfer
6229,Meritan Shabani,Attacking Midfield,19,-,Germany,FC Bayern U19,A-Junioren Bundesliga Süd/Südwest,FC Bayern II,Regionalliga Bayern,-
6230,Robert Huth,Centre-Back,34,-,Germany,Leicester,Premier League,Premier League,Without Club,-
6231,Aleksandr Ryazantsev,Central Midfield,31,-,Russia,Zenit S-Pb,Premier Liga,Premier Liga,Without Club,-
6232,Ángel Rangel,Right-Back,35,-,Spain,Swansea,Championship,Championship,Without Club,-
6233,Lloyd Sam,Right Winger,33,-,Ghana,AFC Wimbledon,League One,League One,Unknown,Free Transfer
6234,Tobias Levels,Right-Back,31,-,Germany,FC Ingolstadt,2.Bundesliga,2.Bundesliga,Unknown,Free Transfer
6235,Eugen Polanski,Defensive Midfield,32,-,Poland,TSG Hoffenheim,1.Bundesliga,1.Bundesliga,Without Club,-
6236,Georgi Milanov,Attacking Midfield,26,-,Bulgaria,CSKA Moscow,Premier Liga,Premier Liga,Without Club,-
6237,Modibo Maïga,Centre-Forward,30,-,Mali,Ajman Club,UAE Gulf League,UAE Gulf League,Without Club,-
6238,Chris Humphrey,Right Midfield,30,-,Jamaica,Bury,League Two,League Two,Unknown,Free Transfer
6239,Marlon Frey,Defensive Midfield,22,-,Germany,Bay. Leverkusen,1.Bundesliga,1.Bundesliga,Without Club,-
6240,David Kopacz,Attacking Midfield,19,-,Poland,B. Dortmund U19,A-Junioren Bundesliga West,Stuttgart II,Regionalliga Südwest,Free Transfer
6241,Germán Denis,Centre-Forward,36,-,Argentina,Lanús,Primera División,Primera División,Without Club,-
6242,Evgeni Balyajkin,Defensive Midfield,30,-,Russia,SKA Khabarovsk,1.Division,1.Division,Without Club,-
6243,Mitch Austin,Left Winger,27,-,Australia,Melbourne,A-League,A-League,Without Club,-
6244,Nicky Maynard,Centre-Forward,31,-,England,Aberdeen FC,Premiership,Premiership,Without Club,-
6245,Paul Quinn,Centre-Back,33,-,Scotland,Dundee United,Championship,Championship,Without Club,-
6246,Oleg Gusev,Right Midfield,35,-,Ukraine,Dynamo Kyiv,Premier Liga,Premier Liga,Without Club,-
6247,Hrvoje Milic,Left-Back,29,-,Croatia,SSC Napoli,Serie A,Serie A,Without Club,-
6248,Rafael Miranda,Defensive Midfield,34,-,Brazil,Vit. Guimarães,Liga NOS,Liga NOS,Without Club,-
6249,Georgios Sarris,Centre-Back,28,-,Greece,Hamilton Acad.,Premiership,Premiership,Without Club,-
6250,Steve Davies,Centre-Forward,30,-,England,Rochdale AFC,League One,League One,Unknown,Free Transfer
6251,Christoph Baumgartner,Attacking Midfield,19,-,Austria,Hoffenheim U19,A-Junioren Bundesliga Süd/Südwest,Hoffenheim II,Regionalliga Südwest,-
6252,Xavier Tomas,Centre-Back,32,-,France,Hamilton Acad.,Premiership,Premiership,Without Club,-
6253,Victor Rimniceanu,Goalkeeper,28,-,Romania,Sepsi Sf. Gh.,Liga 1,Liga 1,Without Club,Free Transfer
6254,Il-Gwan Jong,Centre-Forward,25,-,"Korea, North",FC Luzern,Super League,Super League,Without Club,-
6255,Tim Cahill,Attacking Midfield,38,-,Australia,Millwall,Championship,Championship,Unknown,Free Transfer
6256,Darren Bent,Centre-Forward,34,-,England,Derby,Championship,Championship,Without Club,-
6257,Jürgen Gjasula,Central Midfield,32,-,Albania,Greuther Fürth,2.Bundesliga,2.Bundesliga,Without Club,Free Transfer
6258,Sercan Sararer,Left Midfield,28,-,Turkey,Greuther Fürth,2.Bundesliga,2.Bundesliga,Without Club,-
6259,Nicolás Burdisso,Centre-Back,37,-,Argentina,Torino,Serie A,Serie A,Without Club,-
6260,Maher Haddad,Left Winger,29,-,Tunisia,Olym. Charleroi,Olym. Charleroi,Olym. Charleroi,Without Club,-
6261,Steeven Langil,Left Winger,30,-,Martinique,NEC Nijmegen,Keuken Kampioen Divisie,Keuken Kampioen Divisie,Without Club,-
6262,Elias Abouchabaka,Attacking Midfield,18,-,Germany,RB Leipzig U19,A-Junioren Bundesliga Nord/Nordost,RB Leipzig,1.Bundesliga,-
6263,Kevin Goden,Right-Back,19,-,Germany,1.FC Köln U19,A-Junioren Bundesliga West,1.FC Nuremberg,1.Bundesliga,Free Transfer
6264,Danilo Carando,Centre-Forward,30,-,Argentina,Fujairah SC,UAE Gulf League,UAE Gulf League,Without Club,-
6265,James Collins,Centre-Back,35,-,Wales,West Ham,Premier League,Premier League,Without Club,-
6266,David Lombán,Centre-Back,31,-,Spain,SD Eibar,LaLiga,LaLiga,Without Club,-
6267,Patrice Evra,Left-Back,37,-,France,West Ham,Premier League,Premier League,Without Club,-
6268,Adrián Lucero,Central Midfield,33,-,Argentina,AO Xanthi,Super League,Super League,Without Club,-
6269,Steven Smith,Left-Back,32,-,Scotland,Kilmarnock FC,Premiership,Premiership,Without Club,-
6270,Martin Woods,Central Midfield,32,-,Scotland,Partick Thistle,Championship,Championship,Without Club,-
6271,Martin Woods,Central Midfield,32,-,Scotland,Partick Thistle,Championship,Championship,Without Club,-
6272,Nahuel Zárate,Left-Back,25,-,Argentina,CA Tucumán,Primera División,Primera División,Without Club,-
6273,Christian Klem,Left-Back,27,-,Austria,Wolfsberger AC,Bundesliga,Bundesliga,Unknown,Free Transfer
6274,Osman Hadzikic,Goalkeeper,22,-,Austria,Austria Vienna,Bundesliga,Bundesliga,Unknown,Free Transfer
6275,Jake Kean,Goalkeeper,27,-,England,Sheff Wed,Championship,Championship,Without Club,-
6276,Torino Hunte,Left Winger,27,-,Netherlands,VVV-Venlo,Eredivisie,Eredivisie,Without Club,-
6277,Ross Wallace,Right Midfield,33,-,Scotland,Sheff Wed,Championship,Championship,Without Club,-
6278,Martin Cranie,Centre-Back,31,-,England,Middlesbrough,Championship,Championship,Without Club,-
6279,Paolo De Ceglie,Left-Back,31,-,Italy,Servette FC,Challenge League,Challenge League,Without Club,-
6280,Liam Feeney,Right Winger,31,-,England,Blackburn,Championship,Championship,Without Club,-
6281,Alexander Meier,Second Striker,35,-,Germany,E. Frankfurt,1.Bundesliga,1.Bundesliga,Without Club,-
6282,Shola Ameobi,Centre-Forward,36,-,Nigeria,Notts County,League Two,League Two,Unknown,Free Transfer
6283,Erdem Sen,Defensive Midfield,29,-,Turkey,Marítimo,Liga NOS,Liga NOS,Without Club,-
6284,Juan Manuel Martínez,Right Winger,32,-,Argentina,Independiente,Primera División,Primera División,Without Club,-
6285,Julio De Dios,Central Midfield,31,-,Spain,Mérida AD,Mérida AD,Mérida AD,Without Club,-
6286,Marko Poletanovic,Central Midfield,25,-,Serbia,Tosno,Tosno,Tosno,Unknown,?
6287,Nuno Rocha,Attacking Midfield,26,-,Cape Verde,Tosno,Tosno,Tosno,Unknown,?
6288,Nikola Trujic,Left Winger,26,-,Serbia,Tosno,Tosno,Tosno,Unknown,?
6289,Tarsi Aguado,Central Midfield,23,-,Spain,Bilbao Athletic,2ª B - Grupo II,2ª B - Grupo II,Without Club,-
6290,Gaston Camara,Right Winger,22,-,Guinea,Inter,Serie A,Serie A,Without Club,-
6291,Sabri Sarioglu,Right-Back,34,-,Turkey,Göztepe,Süper Lig,Süper Lig,Without Club,-
6292,Selim Gündüz,Right Winger,24,-,Germany,VfL Bochum,2.Bundesliga,2.Bundesliga,Without Club,Free Transfer
6293,John Terry,Centre-Back,37,-,England,Aston Villa,Championship,Championship,Without Club,-
6294,Dario Rugasevic,Left-Back,27,-,Croatia,Piast Gliwice,Ekstraklasa,Ekstraklasa,Without Club,-
6295,Dzengis Cavusevic,Centre-Forward,30,-,Slovenia,Adelaide United,A-League,A-League,Without Club,-
6296,Cristóbal Jorquera,Central Midfield,30,-,Chile,Bursaspor,Süper Lig,Süper Lig,Without Club,-
6297,Gheorghe Grozav,Left Winger,27,-,Romania,Bursaspor,Süper Lig,Süper Lig,Without Club,-
6298,Tanju Kayhan,Right-Back,29,-,Austria,Göztepe,Süper Lig,Süper Lig,Without Club,-
6299,Mathieu Flamini,Defensive Midfield,34,-,France,Getafe CF,LaLiga,LaLiga,Without Club,-
6300,Ilia Maksimov,Central Midfield,31,-,Russia,Arsenal Tula,Premier Liga,Premier Liga,Without Club,-
6301,Stavros Tsoukalas,Central Midfield,30,-,Greece,Apollon Smyrnis,Super League,Super League,Without Club,-
6302,Ivan Matyazh,Centre-Forward,30,-,Ukraine,Chornomorets,Premier Liga,Premier Liga,Without Club,-
6303,Oleksandr Gladky,Centre-Forward,31,-,Ukraine,Chornomorets,Premier Liga,Premier Liga,Without Club,-
6304,Stephen Ireland,Attacking Midfield,32,-,Ireland,Stoke City,Championship,Championship,Without Club,-
6305,Glen Johnson,Right-Back,34,-,England,Stoke City,Championship,Championship,Without Club,-
6306,Deniz Naki,Second Striker,29,-,Germany,Amed SK,2.Lig Beyaz,2.Lig Beyaz,Without Club,-
6307,Bruno Pereirinha,Right Midfield,30,-,Portugal,Belenenses,Liga NOS,Liga NOS,Without Club,-
6308,Mamadou Wagué,Centre-Back,28,-,France,Chornomorets,Premier Liga,Premier Liga,Without Club,-
6309,Andreas Ivanschitz,Attacking Midfield,34,-,Austria,Viktoria Plzen,HET Liga,HET Liga,Unknown,Free Transfer
6310,Nicolae Musat,Left-Back,31,-,Romania,FC Botosani,Liga 1,Liga 1,Without Club,-
